iter	MultiClass
0	1.0676415
1	1.040306824
2	1.015334186
3	0.9946087191
4	0.9794826111
5	0.9618774254
6	0.9471697184
7	0.9323132737
8	0.9209527549
9	0.9131243803
10	0.9052749632
11	0.8966114922
12	0.8881409479
13	0.8788321585
14	0.8731723226
15	0.8656777795
16	0.8591855255
17	0.8526129559
18	0.8475873677
19	0.8450863393
20	0.8406225812
21	0.8369444924
22	0.8345015976
23	0.8292460445
24	0.8269292763
25	0.8251628918
26	0.8230471176
27	0.8205969025
28	0.8174283486
29	0.8135605262
30	0.8112141329
31	0.8087491919
32	0.8071325762
33	0.8041224805
34	0.8007324368
35	0.798777817
36	0.7968383364
37	0.7947913792
38	0.7928809043
39	0.7916645864
40	0.7907818843
41	0.7877495508
42	0.7861509959
43	0.7852697671
44	0.7826924258
45	0.7813222321
46	0.7799860503
47	0.7792086894
48	0.778211979
49	0.7777159495
50	0.7769686703
51	0.7758830531
52	0.77435415
53	0.7722018142
54	0.7699705247
55	0.7681761583
56	0.7669488981
57	0.7660576004
58	0.7655389379
59	0.7646350314
60	0.7636033915
61	0.7629173315
62	0.7612147087
63	0.7591533141
64	0.7583847456
65	0.7576703865
66	0.7568586049
67	0.7560135969
68	0.7551177077
69	0.754032359
70	0.7532784274
71	0.7523980792
72	0.7515464761
73	0.7506617038
74	0.7498591497
75	0.7490975824
76	0.7483100142
77	0.7470330567
78	0.7465850283
79	0.7453650518
80	0.7442890242
81	0.74332718
82	0.7426158523
83	0.741222992
84	0.7406982495
85	0.7401645871
86	0.7388836114
87	0.7377154224
88	0.7361777678
89	0.735075139
90	0.7343993171
91	0.7339352321
92	0.7332870392
93	0.7325765671
94	0.7315826049
95	0.7304112841
96	0.7287058062
97	0.7279692682
98	0.7273651574
99	0.7261521898
100	0.7256761854
101	0.7249564859
102	0.7242522121
103	0.7236838194
104	0.7221490121
105	0.7216868712
106	0.7200240899
107	0.719054859
108	0.718185689
109	0.7175749218
110	0.7169782869
111	0.7164860081
112	0.7157833978
113	0.7154513582
114	0.7149163967
115	0.714483473
116	0.7130531295
117	0.7126052402
118	0.7115338199
119	0.7102426971
120	0.7087121826
121	0.7079950547
122	0.7074348252
123	0.7065139803
124	0.7058819372
125	0.7049536716
126	0.7040429085
127	0.7030259134
128	0.7025694277
129	0.7019392486
130	0.7013209498
131	0.700775548
132	0.6995890658
133	0.6988405917
134	0.6982576593
135	0.6967899783
136	0.6959039624
137	0.6952487626
138	0.6945248384
139	0.6937400853
140	0.6927332269
141	0.6921756085
142	0.6913068787
143	0.6902707488
144	0.6900078337
145	0.6895258053
146	0.6891440859
147	0.6885493627
148	0.6878749649
149	0.6872827423
150	0.6867426147
151	0.6859377519
152	0.6854188266
153	0.6849244577
154	0.684376832
155	0.6835427074
156	0.6824162601
157	0.681797934
158	0.681245511
159	0.6798894857
160	0.6794580715
161	0.6786893734
162	0.6781489917
163	0.6777872703
164	0.676848836
165	0.6761562392
166	0.6752029921
167	0.6744649496
168	0.6739536484
169	0.6728603534
170	0.6719976141
171	0.6713796522
172	0.6702029981
173	0.6696165193
174	0.6687560586
175	0.6676332376
176	0.6672485775
177	0.6666594636
178	0.6660862223
179	0.665206396
180	0.6646801467
181	0.6638670193
182	0.6631523818
183	0.6624591262
184	0.6619779081
185	0.6605449893
186	0.6601282206
187	0.6596198397
188	0.6592580198
189	0.6588532935
190	0.6584444731
191	0.657677747
192	0.6573104502
193	0.6569089671
194	0.6565262957
195	0.6559387091
196	0.655421026
197	0.6549667246
198	0.6534638708
199	0.6527788629
200	0.6523679655
201	0.652088284
202	0.651690942
203	0.6510968931
204	0.6504804904
205	0.650164674
206	0.6496520903
207	0.6491499375
208	0.6487260571
209	0.6481444315
210	0.6475461102
211	0.6471904215
212	0.6466428712
213	0.6462999898
214	0.6458686195
215	0.6453565136
216	0.6448246909
217	0.644485017
218	0.6440491656
219	0.6436383196
220	0.6430980265
221	0.6425296099
222	0.6421530146
223	0.641391113
224	0.641014872
225	0.6406519688
226	0.639900929
227	0.6394969562
228	0.6387185731
229	0.6382951177
230	0.6376940364
231	0.6364542426
232	0.6358243256
233	0.6355782157
234	0.6352832088
235	0.6348500882
236	0.6341538783
237	0.6337337176
238	0.632761341
239	0.6318309256
240	0.6314499199
241	0.63100408
242	0.6304678773
243	0.630109456
244	0.6294897975
245	0.6291265664
246	0.628839585
247	0.6283980783
248	0.627918506
249	0.6273758743
250	0.6269655126
251	0.6265166909
252	0.6261723694
253	0.6256571095
254	0.6253072917
255	0.6249328194
256	0.6244575466
257	0.6240390287
258	0.6237743072
259	0.6234762983
260	0.6229634226
261	0.6223735151
262	0.6218753418
263	0.6210813718
264	0.620749512
265	0.6204494917
266	0.6200975505
267	0.6196176902
268	0.6192635268
269	0.6188434338
270	0.6185005823
271	0.6177572152
272	0.6172695273
273	0.6168604306
274	0.6166555052
275	0.6162334852
276	0.6159740852
277	0.6156805583
278	0.6152224995
279	0.6147774288
280	0.6143614929
281	0.6141144403
282	0.6137658743
283	0.6133766552
284	0.6129914984
285	0.6125091809
286	0.6121268985
287	0.6117246766
288	0.6113934411
289	0.610872475
290	0.6105671486
291	0.6100653302
292	0.609748122
293	0.6095321466
294	0.6086598192
295	0.6082913397
296	0.6072402663
297	0.6068511315
298	0.6065773723
299	0.6062062582
300	0.6058984425
301	0.605298405
302	0.6049116862
303	0.6044788318
304	0.6040094432
305	0.6037043876
306	0.6033324418
307	0.6031565652
308	0.6024974338
309	0.6021318206
310	0.6015069935
311	0.6012262213
312	0.600919336
313	0.6001629646
314	0.5996872496
315	0.5992951613
316	0.5990693053
317	0.5986224529
318	0.5978440333
319	0.5974017545
320	0.5970214451
321	0.5966821427
322	0.5963110826
323	0.5960014682
324	0.5957660417
325	0.5951766314
326	0.5947251576
327	0.5943868371
328	0.5941611816
329	0.5938591859
330	0.5936355121
331	0.5933998787
332	0.5930825274
333	0.5929008949
334	0.5925663729
335	0.5923747182
336	0.5920653917
337	0.591729965
338	0.5914018764
339	0.5911267491
340	0.5902509397
341	0.5897039676
342	0.5893011598
343	0.5890338893
344	0.5883887899
345	0.588108069
346	0.5877513128
347	0.5874915388
348	0.5866108759
349	0.5862107085
350	0.5859727114
351	0.5857157189
352	0.5853800656
353	0.5849700957
354	0.5846316082
355	0.5843004141
356	0.5838620295
357	0.5836176109
358	0.5833223728
359	0.5830723701
360	0.5827387094
361	0.5823878183
362	0.5821367032
363	0.5818178797
364	0.5815120272
365	0.5810665029
366	0.5807391843
367	0.580254316
368	0.5799813322
369	0.5795675482
370	0.5793424152
371	0.5790135821
372	0.5787725824
373	0.5784949156
374	0.57826152
375	0.5780076146
376	0.5777821171
377	0.5769114488
378	0.5767087303
379	0.5762231585
380	0.5758258249
381	0.575237969
382	0.5749955814
383	0.5747375134
384	0.5743417388
385	0.5738457927
386	0.5734223931
387	0.5729527104
388	0.5727217307
389	0.57248861
390	0.5714581504
391	0.5712604981
392	0.5709191949
393	0.5706350548
394	0.5702925981
395	0.5700211204
396	0.5697161323
397	0.5690959267
398	0.568565119
399	0.5684022821
400	0.5680875322
401	0.5678881479
402	0.5676289728
403	0.567287878
404	0.5667777437
405	0.5665344854
406	0.5663123646
407	0.56616228
408	0.5659196122
409	0.5656284922
410	0.565287843
411	0.5649046103
412	0.5645394896
413	0.5641882345
414	0.5639482774
415	0.5636319341
416	0.563351887
417	0.5628414526
418	0.5625623576
419	0.5622565357
420	0.5615520029
421	0.5613149149
422	0.5611196118
423	0.5606730724
424	0.5604391427
425	0.5601070813
426	0.5598584049
427	0.5597034152
428	0.5594558261
429	0.5592656205
430	0.5590516341
431	0.558738369
432	0.5583844751
433	0.5580948819
434	0.5578402047
435	0.5575958352
436	0.557385444
437	0.5570564313
438	0.5567309518
439	0.5563515767
440	0.5561433691
441	0.5559239175
442	0.5556590887
443	0.5555064226
444	0.5553298873
445	0.5549945585
446	0.5547691325
447	0.5545171186
448	0.5543259282
449	0.5539665453
450	0.5537818089
451	0.5536092722
452	0.553374138
453	0.5529604089
454	0.5527533161
455	0.5525629518
456	0.5523284687
457	0.5518576926
458	0.5516204337
459	0.5513676707
460	0.5511741795
461	0.5509042748
462	0.5506058598
463	0.5502439541
464	0.5499801996
465	0.5498130362
466	0.549523829
467	0.5492928579
468	0.5490578472
469	0.548682863
470	0.5482980087
471	0.5481167448
472	0.5478420953
473	0.5468485737
474	0.5465742272
475	0.5462017986
476	0.5459532204
477	0.5457223989
478	0.5453480942
479	0.5451495793
480	0.5450260816
481	0.5447530007
482	0.5444785583
483	0.5443061612
484	0.5438232139
485	0.5431912601
486	0.5428122886
487	0.5425952432
488	0.5424237927
489	0.542265274
490	0.5420392094
491	0.5414617637
492	0.5412547471
493	0.5410604302
494	0.5407985936
495	0.5403850295
496	0.5399773978
497	0.5395355697
498	0.5393658021
499	0.5391846679
500	0.5389905671
501	0.5386981374
502	0.5383403704
503	0.538100563
504	0.5379247271
505	0.5376743695
506	0.5374471965
507	0.5371248058
508	0.5368940677
509	0.5366527162
510	0.5364796672
511	0.5358362905
512	0.5356218964
513	0.5352517459
514	0.5349923643
515	0.5347377781
516	0.5344057582
517	0.534188113
518	0.5339414131
519	0.5335801607
520	0.5333475246
521	0.5331786766
522	0.5330410409
523	0.5326363707
524	0.5323849195
525	0.5322357937
526	0.5320671399
527	0.5317280027
528	0.5314369695
529	0.5312904529
530	0.5310933947
531	0.5308915385
532	0.5306626448
533	0.5304418041
534	0.5301992089
535	0.5299405405
536	0.5297671938
537	0.5296073421
538	0.5293580899
539	0.5291282293
540	0.5289566476
541	0.5284227541
542	0.5280865294
543	0.5279431915
544	0.527773788
545	0.5275182593
546	0.5273121938
547	0.527029029
548	0.5268750887
549	0.5265170945
550	0.5263159974
551	0.526209342
552	0.525653621
553	0.5254394397
554	0.525020968
555	0.5248006189
556	0.5245460523
557	0.5244131416
558	0.5242117194
559	0.5240825423
560	0.5237471265
561	0.5235397512
562	0.5233368363
563	0.5230601048
564	0.522782615
565	0.5225821225
566	0.5223342803
567	0.5221271737
568	0.5218968861
569	0.5216824205
570	0.5213938847
571	0.5212457977
572	0.52102692
573	0.5208342196
574	0.5206422526
575	0.5203604888
576	0.5200003647
577	0.5198594093
578	0.5195434064
579	0.5192892888
580	0.519059837
581	0.5182614574
582	0.5181033297
583	0.5178410519
584	0.5176155517
585	0.5174175249
586	0.5171928638
587	0.5169586161
588	0.5168649847
589	0.5165295522
590	0.5163138898
591	0.5160353381
592	0.5158216884
593	0.5155118102
594	0.5153001234
595	0.5149531383
596	0.5146892232
597	0.5144878057
598	0.5142374269
599	0.5139615621
600	0.5137760374
601	0.513492396
602	0.5133037504
603	0.513059041
604	0.5129851873
605	0.5126177911
606	0.5123928826
607	0.5120571674
608	0.5117909984
609	0.5116401788
610	0.5113690999
611	0.5111616083
612	0.5110324054
613	0.5108605977
614	0.510690526
615	0.5105508081
616	0.5103032735
617	0.5093137355
618	0.50916345
619	0.5088390052
620	0.5085695087
621	0.5084064921
622	0.5081212678
623	0.5079899406
624	0.5078669892
625	0.5077578829
626	0.5076153262
627	0.5073952623
628	0.5070758376
629	0.5068540463
630	0.5066428215
631	0.5062347272
632	0.5059679774
633	0.5058231637
634	0.5055649809
635	0.5053997588
636	0.5052349292
637	0.5049366398
638	0.5046882761
639	0.5043396397
640	0.5040605327
641	0.5038901473
642	0.5036870466
643	0.5034271455
644	0.5032984866
645	0.5030421234
646	0.5027473949
647	0.5026155115
648	0.5024587691
649	0.5023054717
650	0.5021083981
651	0.5019763594
652	0.5018165389
653	0.5016154511
654	0.5014209726
655	0.5010708504
656	0.5008909048
657	0.5004443614
658	0.5002903313
659	0.4999982266
660	0.4998366946
661	0.4997087077
662	0.4995102142
663	0.4992877724
664	0.4991332439
665	0.4987519991
666	0.4986513757
667	0.4983864833
668	0.4981321437
669	0.4979699099
670	0.4977785194
671	0.4975832976
672	0.4973700753
673	0.4970064355
674	0.4968386011
675	0.4963482752
676	0.4962488372
677	0.4961135355
678	0.4958618576
679	0.4957194047
680	0.4954915641
681	0.4951724438
682	0.4950088447
683	0.4948142593
684	0.4946001902
685	0.49439738
686	0.494144318
687	0.4939564361
688	0.4938423249
689	0.4936541898
690	0.4933529941
691	0.4932176212
692	0.4929732429
693	0.4927989539
694	0.4925927823
695	0.4923404185
696	0.4920386396
697	0.4918333576
698	0.4916502772
699	0.4914474536
700	0.491292098
701	0.4911015926
702	0.490964599
703	0.4908216704
704	0.4906423747
705	0.4904470404
706	0.4902334642
707	0.4899337726
708	0.4897199076
709	0.4895910755
710	0.4893183728
711	0.4891978887
712	0.4889837714
713	0.4888127309
714	0.488638587
715	0.4883206843
716	0.4881778593
717	0.4880139017
718	0.4877425202
719	0.4876403339
720	0.4874661668
721	0.4871595948
722	0.4870454906
723	0.4867775649
724	0.4866327739
725	0.4864712398
726	0.4862115358
727	0.4860453113
728	0.485539437
729	0.4853964619
730	0.4851220785
731	0.4848986002
732	0.4847120308
733	0.4845417435
734	0.4843763124
735	0.4841249087
736	0.4838950672
737	0.4837324534
738	0.4836272537
739	0.483447024
740	0.4831687349
741	0.4830532059
742	0.4828977755
743	0.4827112834
744	0.4825215614
745	0.4822643428
746	0.4819080046
747	0.4816600225
748	0.4815539428
749	0.481418739
750	0.4811814238
751	0.4810545871
752	0.4809653863
753	0.4805170642
754	0.4802603797
755	0.4801150464
756	0.4798918149
757	0.4796728593
758	0.479551221
759	0.479411143
760	0.4792676601
761	0.4791417537
762	0.4789115895
763	0.4787698219
764	0.4785234844
765	0.4782748849
766	0.4779018811
767	0.4777562481
768	0.4776204392
769	0.4774934974
770	0.4773067338
771	0.4771858326
772	0.476942892
773	0.4767909569
774	0.4766523554
775	0.4765063233
776	0.4763366022
777	0.4760622638
778	0.4759716534
779	0.4757524761
780	0.4754387146
781	0.4752331153
782	0.4751302134
783	0.4747642279
784	0.474554125
785	0.4743382562
786	0.4741020215
787	0.4739842231
788	0.4738497957
789	0.4736910335
790	0.4735732195
791	0.4733829255
792	0.4730443168
793	0.4727953007
794	0.4726735714
795	0.4724887079
796	0.4723090234
797	0.4721896119
798	0.4720149401
799	0.4715847698
800	0.4714491875
801	0.4713412574
802	0.4711708848
803	0.4709132736
804	0.470798841
805	0.4706383552
806	0.4705176081
807	0.470358614
808	0.4702403092
809	0.4699055998
810	0.4697192928
811	0.4695793205
812	0.4694360419
813	0.4691977696
814	0.468848226
815	0.4686464716
816	0.4685091092
817	0.4682972593
818	0.4681012858
819	0.4679647177
820	0.4678007283
821	0.4675094345
822	0.4673742071
823	0.467233132
824	0.4670948438
825	0.4668807475
826	0.466671686
827	0.466516234
828	0.4662386749
829	0.4660273992
830	0.4659238188
831	0.4657213454
832	0.4655271132
833	0.465437977
834	0.4651917962
835	0.4650432286
836	0.4648372744
837	0.4647324
838	0.4646224553
839	0.4644453961
840	0.4642908772
841	0.464106333
842	0.4639799954
843	0.4638752842
844	0.4637524824
845	0.463276426
846	0.4630183343
847	0.4628129006
848	0.4626896524
849	0.4625991364
850	0.4624029273
851	0.4622685792
852	0.4620129365
853	0.4618658282
854	0.4615522516
855	0.4613874658
856	0.4612471398
857	0.4610729255
858	0.4608707686
859	0.4607701915
860	0.4605799028
861	0.4604777586
862	0.4603672817
863	0.4602302973
864	0.4600809057
865	0.4599240199
866	0.4597714348
867	0.4596293506
868	0.459389771
869	0.4593078265
870	0.4591730322
871	0.4590410293
872	0.4587758185
873	0.458664964
874	0.4585043588
875	0.458401654
876	0.4582193179
877	0.4580390499
878	0.4579078949
879	0.4576567717
880	0.4574839636
881	0.4573350045
882	0.4571904701
883	0.4570607545
884	0.456900773
885	0.4567694801
886	0.456613102
887	0.4564812598
888	0.4563495934
889	0.456219519
890	0.4561166809
891	0.455979686
892	0.4558229288
893	0.4557241696
894	0.4555677
895	0.4554086502
896	0.4553037837
897	0.4551981314
898	0.4550425936
899	0.4549487978
900	0.4547683346
901	0.4546872875
902	0.4545359331
903	0.4543867191
904	0.4542543807
905	0.4540777613
906	0.4539471695
907	0.4538108588
908	0.4536664679
909	0.4534804028
910	0.4532682974
911	0.4531227945
912	0.4527331387
913	0.4525763412
914	0.4524561055
915	0.4522643118
916	0.4521513858
917	0.4520194902
918	0.4518233135
919	0.4516900782
920	0.4515708303
921	0.4514207377
922	0.4513306003
923	0.4512246666
924	0.4509192698
925	0.4506966542
926	0.4505747649
927	0.4504912757
928	0.4504233818
929	0.4503297443
930	0.4502032998
931	0.4501277003
932	0.4499618579
933	0.4498231659
934	0.4497228168
935	0.4495612859
936	0.4493412671
937	0.4492402774
938	0.4490016759
939	0.4488755357
940	0.448763627
941	0.4485609357
942	0.4484679641
943	0.4483173442
944	0.4482212469
945	0.4481340976
946	0.4479318559
947	0.4477782778
948	0.447522387
949	0.4474264496
950	0.4473011615
951	0.4470747385
952	0.446967973
953	0.4468313531
954	0.4466665341
955	0.4465242956
956	0.4463064201
957	0.446166811
958	0.4460538533
959	0.4459028622
960	0.445822056
961	0.445640522
962	0.4455108179
963	0.4449509083
964	0.4447937088
965	0.4446926281
966	0.4446140857
967	0.4445407543
968	0.4444121441
969	0.4442575606
970	0.4441688203
971	0.4440959872
972	0.4439456181
973	0.4437954296
974	0.4435996326
975	0.4435109563
976	0.4432683925
977	0.4431211909
978	0.4429572433
979	0.4426990412
980	0.4425600422
981	0.4423534878
982	0.4422286008
983	0.4420601775
984	0.4419546253
985	0.4418031149
986	0.44168071
987	0.4415103983
988	0.4413929781
989	0.4412825293
990	0.4411682456
991	0.4407692599
992	0.4406313837
993	0.4405086629
994	0.4402419807
995	0.4401354811
996	0.4399962975
997	0.4398414294
998	0.4394974196
999	0.4394132299
