iter	Passed	Remaining
400	14413	21529
401	14451	21497
402	14485	21458
403	14523	21426
404	14552	21380
405	14582	21334
406	14608	21284
407	14643	21247
408	14682	21216
409	14710	21168
410	14741	21126
411	14773	21084
412	14799	21034
413	14837	21001
414	14865	20954
415	14895	20910
416	14922	20862
417	14951	20817
418	14987	20782
419	15015	20735
420	15045	20692
421	15083	20659
422	15123	20629
423	15162	20598
424	15198	20563
425	15230	20521
426	15264	20484
427	15295	20441
428	15331	20406
429	15363	20365
430	15392	20321
431	15426	20282
432	15453	20236
433	15489	20200
434	15519	20158
435	15547	20112
436	15581	20074
437	15609	20029
438	15644	19992
439	15673	19947
440	15698	19899
441	15730	19858
442	15760	19816
443	15791	19775
444	15819	19729
445	15847	19685
446	15881	19647
447	15911	19605
448	15942	19564
449	15972	19521
450	15999	19476
451	16035	19441
452	16069	19404
453	16095	19357
454	16124	19313
455	16152	19270
456	16185	19231
457	16213	19187
458	16240	19141
459	16268	19097
460	16294	19051
461	16331	19017
462	16360	18975
463	16390	18933
464	16424	18897
465	16452	18853
466	16485	18815
467	16519	18778
468	16545	18733
469	16582	18699
470	16610	18655
471	16639	18613
472	16677	18581
473	16705	18538
474	16735	18497
475	16766	18457
476	16794	18413
477	16825	18374
478	16855	18333
479	16886	18293
480	16914	18250
481	16941	18206
482	16980	18176
483	17012	18137
484	17043	18097
485	17079	18063
486	17124	18039
487	17165	18009
488	17193	17966
489	17227	17930
490	17257	17890
491	17287	17849
492	17323	17815
493	17355	17777
494	17387	17738
495	17415	17696
496	17441	17651
497	17481	17621
498	17514	17585
499	17541	17541
500	17571	17501
501	17610	17469
502	17639	17428
503	17672	17392
504	17699	17349
505	17728	17307
506	17762	17271
507	17790	17229
508	17822	17192
509	17850	17150
510	17880	17111
511	17917	17077
512	17943	17034
513	17974	16995
514	18007	16958
515	18035	16916
516	18066	16877
517	18093	16836
518	18131	16803
519	18166	16769
520	18193	16726
521	18226	16689
522	18252	16647
523	18284	16609
524	18324	16579
525	18353	16538
526	18384	16500
527	18421	16467
528	18449	16426
529	18483	16390
530	18518	16356
531	18546	16315
532	18575	16275
533	18603	16234
534	18634	16196
535	18671	16163
536	18703	16126
537	18734	16087
538	18769	16052
539	18797	16012
540	18830	15976
541	18862	15939
542	18889	15898
543	18918	15858
544	18952	15822
545	18981	15783
546	19016	15748
547	19043	15707
548	19081	15675
549	19117	15641
550	19148	15603
551	19179	15566
552	19208	15526
553	19234	15484
554	19276	15456
555	19304	15415
556	19331	15375
557	19366	15340
558	19401	15306
559	19431	15267
560	19462	15230
561	19490	15190
562	19518	15149
563	19554	15116
564	19582	15076
565	19615	15040
566	19642	15000
567	19671	14961
568	19706	14927
569	19732	14886
570	19769	14852
571	19797	14813
572	19826	14774
573	19860	14739
574	19887	14699
575	19920	14663
576	19947	14623
577	19977	14585
578	20011	14550
579	20037	14510
580	20064	14469
581	20093	14431
582	20122	14392
583	20158	14359
584	20186	14320
585	20217	14283
586	20244	14243
587	20274	14205
588	20311	14173
589	20342	14136
590	20371	14098
591	20399	14059
592	20425	14019
593	20457	13982
594	20485	13943
595	20512	13904
596	20539	13864
597	20574	13831
598	20603	13792
599	20630	13753
600	20665	13719
601	20693	13681
602	20724	13644
603	20757	13609
604	20785	13570
605	20812	13531
606	20839	13492
607	20867	13453
608	20901	13419
609	20928	13380
610	20960	13344
611	20989	13307
612	21017	13268
613	21049	13233
614	21076	13194
615	21111	13160
616	21139	13122
617	21168	13084
618	21205	13052
619	21232	13013
620	21260	12975
621	21290	12938
622	21319	12901
623	21355	12868
624	21382	12829
625	21411	12792
626	21438	12753
627	21466	12715
628	21501	12682
629	21527	12643
630	21554	12605
631	21581	12566
632	21611	12529
633	21643	12494
634	21671	12456
635	21703	12421
636	21730	12383
637	21766	12350
638	21800	12315
639	21825	12276
640	21852	12238
641	21878	12199
642	21913	12166
643	21939	12127
644	21965	12089
645	21997	12054
646	22024	12016
647	22055	11980
648	22084	11943
649	22112	11906
650	22142	11870
651	22168	11832
652	22194	11794
653	22222	11756
654	22248	11718
655	22273	11680
656	22305	11644
657	22332	11607
658	22362	11571
659	22396	11537
660	22423	11500
661	22455	11465
662	22482	11427
663	22510	11390
664	22538	11354
665	22568	11318
666	22605	11285
667	22632	11248
668	22663	11213
669	22689	11175
670	22718	11139
671	22744	11101
672	22770	11063
673	22805	11030
674	22833	10994
675	22863	10958
676	22894	10923
677	22920	10885
678	22952	10850
679	22977	10812
680	23007	10777
681	23038	10742
682	23065	10705
683	23097	10670
684	23124	10633
685	23150	10596
686	23182	10561
687	23212	10526
688	23244	10491
689	23269	10454
690	23307	10422
691	23342	10389
692	23369	10352
693	23407	10320
694	23437	10285
695	23466	10249
696	23496	10214
